# Esperanto dictionary data. Klivo Lendon <indriko.yahoo.com>, 2020
#vorto	vortspeco	signifo	transitiveco	senfinajxo	kunfinajxo	limigo	rareco	flago
Abudabi	SUBST	URBO	N	N	KF	NLM	4	R
Abugx	SUBST	URBO	N	N	KF	NLM	4	R
Acor	SUBST	INSULARO	N	N	KF	N	4	R
Adelaid	SUBST	URBO	N	N	KF	NLM	4	R
Adeliland	SUBST	REGIONO	N	N	KF	NLM	4	R
Adigx	SUBST	RIVERO	N	N	KF	NLM	4	R
Adisabeb	SUBST	URBO	N	N	KF	NLM	4	R
Admiralt	SUBST	INSULARO	N	N	KF	NLM	4	R
Adriatik	SUBST	MARO	N	N	KF	NLM	3	R
Advent	SUBST	FESTO	N	N	KF	NLM	3	R
Afgani	SUBST	LANDO	N	N	KF	NLM	2	R
Afganistan	SUBST	LANDO	N	N	KF	NLM	2	R
Afrik	SUBST	KONTINENTO	N	N	KF	NLM	2	R
Agap	SUBST	FESTO	N	N	KF	N	4	R
Ajun	SUBST	URBO	N	N	KF	N	4	R
Akonkagv	SUBST	MONTO	N	N	KF	NLM	4	R
Akvitani	SUBST	REGIONO	N	N	KF	NLM	4	R
Alask	SUBST	SXTATO	N	N	KF	NLM	3	R
Albani	SUBST	LANDO	N	N	KF	NLM	3	R
Aleksandri	SUBST	URBO	N	N	KF	NLM	3	R
Alep	SUBST	URBO	N	N	KF	N	4	R
Algxer	SUBST	URBO	N	N	KF	NLM	2	R
Algxeri	SUBST	LANDO	N	N	KF	NLM	2	R
Alp	SUBST	MONTARO	N	N	KF	N	2	R
Alzac	SUBST	REGIONO	N	N	KF	NLM	4	R
Aman	SUBST	URBO	N	N	KF	N	4	R
Amazon	SUBST	RIVERO	N	N	KF	NLM	2	R
Amazoni	SUBST	SXTATO	N	N	KF	NLM	3	R
Amerik	SUBST	KONTINENTO	N	N	KF	NLM	2	R
Amsterdam	SUBST	URBO	N	N	KF	NLM	2	R
Amur	SUBST	RIVERO	N	N	KF	N	4	R
And	SUBST	MONTARO	N	N	KF	N	2	R
Andaluzi	SUBST	REGIONO	N	N	KF	NLM	4	R
Andor	SUBST	LANDO	N	N	KF	NLM	4	R
Angil	SUBST	LANDO	N	N	KF	NLM	2	X
Angli	SUBST	LANDO	N	N	KF	NLM	2	R
Angol	SUBST	LANDO	N	N	KF	NLM	3	R
Ankar	SUBST	URBO	N	N	KF	NLM	4	R
Antananariv	SUBST	URBO	N	N	KF	NLM	4	R
Antarkt	ADJ	KONTINENTO	N	N	KF	NLM	2	R
Antigv	SUBST	LANDO	N	N	KF	NLM	4	R
Antil	SUBST	INSULARO	N	N	KF	NLM	4	R
Antiohx	SUBST	URBO	N	N	KF	NLM	4	R
Antverpen	SUBST	URBO	N	N	KF	NLM	2	R
Anunciaci	SUBST	FESTO	N	N	KF	NLM	4	R
Arabi	SUBST	LANDO	N	N	KF	NLM	2	R
Ararat	SUBST	MONTO	N	N	KF	NLM	4	R
Argentin	SUBST	LANDO	N	N	KF	NLM	2	R
Arizon	SUBST	SXTATO	N	N	KF	NLM	3	R
Arkadi	SUBST	REGIONO	N	N	KF	NLM	4	R
Arkipelag	SUBST	INSULARO	N	N	KF	NLM	3	R
Armeni	SUBST	LANDO	N	N	KF	NLM	3	R
Asiri	SUBST	LANDO	N	N	KF	NLM	3	R
Asuncion	SUBST	URBO	N	N	KF	NLM	4	R
Aten	SUBST	URBO	N	N	KF	N	3	R
Atlantik	SUBST	MARO	N	N	KF	NLM	2	R
Auxstrali	SUBST	LANDO	N	N	KF	NLM	2	R
Auxstri	SUBST	LANDO	N	N	KF	NLM	2	R
Azerbajgxan	SUBST	LANDO	N	N	KF	NLM	3	R
Azeri	SUBST	LANDO	N	N	KF	NLM	3	R
Azi	SUBST	KONTINENTO	N	N	KF	NLM	2	R
Babel	SUBST	URBO	N	N	KF	NLM	3	R
Babilon	SUBST	URBO	N	N	KF	NLM	3	R
Babiloni	SUBST	LANDO	N	N	KF	NLM	3	R
Bagdad	SUBST	URBO	N	N	KF	NLM	2	R
Baham	SUBST	LANDO	N	N	KF	NLM	4	R
Bairiki	SUBST	URBO	N	N	KF	NLM	4	R
Bakanal	SUBST	FESTO	N	N	KF	NLM	4	R
Balear	SUBST	INSULARO	N	N	KF	NLM	4	R
Balkan	SUBST	MONTARO	N	N	KF	NLM	3	R
Balti	SUBST	LANDO	N	N	KF	NLM	3	R
Bamak	SUBST	URBO	N	N	KF	NLM	4	R
Banaras	SUBST	URBO	N	N	KF	NLM	4	R
Bandarseribegavan	SUBST	URBO	N	N	KF	NLM	4	R
Bang	SUBST	URBO	N	N	KF	N	4	R
Bangkok	SUBST	URBO	N	N	KF	NLM	2	R
Bangladesx	SUBST	LANDO	N	N	KF	NLM	2	R
